GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.353783,0.000000,0.000000,0.006757
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,1.306867,0.000000,0.000000,0.006523
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,1.304245,0.000000,0.000000,0.006511
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,2.130000,0.588948,0.000000,0.000000,0.002933
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.014000,0.589076,0.000000,0.000000,0.002934
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.011000,0.586107,0.000000,0.000000,0.002920
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.101748,0.000000,0.000000,0.000498
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.000000,0.104482,0.000000,0.000000,0.000511
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351837,0.000000,0.104931,0.000000,0.000000,0.000514
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,2.003000,0.065513,0.000000,0.000000,0.000316
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.014000,0.067197,0.000000,0.000000,0.000325
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.010000,0.066206,0.000000,0.000000,0.000320
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,2.207927,0.000000,0.000000,0.011029
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,2.210267,0.000000,0.000000,0.011040
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,2.210689,0.000000,0.000000,0.011043
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.011000,0.983977,0.000000,0.000000,0.004909
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.011000,0.985743,0.000000,0.000000,0.004918
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.011000,0.985508,0.000000,0.000000,0.004917
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,168.002350,0.000000,0.100540,0.000000,0.000000,0.000492
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,169.659821,0.000000,0.101725,0.000000,0.000000,0.000498
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,167.981262,0.000000,0.099703,0.000000,0.000000,0.000488
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,168.002380,0.011000,0.065818,0.000000,0.000000,0.000318
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,169.659851,0.010000,0.065545,0.000000,0.000000,0.000316
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,167.981323,0.011000,0.065414,0.000000,0.000000,0.000316
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.000000,3.216506,0.000000,0.000000,0.016071
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.000000,3.213924,0.000000,0.000000,0.016059
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.000000,3.217391,0.000000,0.000000,0.016076
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.011000,1.443220,0.000000,0.000000,0.007205
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.011000,1.440658,0.000000,0.000000,0.007192
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.012000,1.440360,0.000000,0.000000,0.007191
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,0,1.000000,173.077988,0.000000,0.107116,0.000000,0.000000,0.000524
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,1,1.000000,173.883102,0.000000,0.106136,0.000000,0.000000,0.000520
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,2,1.000000,172.741547,0.000000,0.106607,0.000000,0.000000,0.000522
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,173.078003,0.011000,0.070488,0.000000,0.000000,0.000341
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,173.883072,0.011000,0.069533,0.000000,0.000000,0.000336
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,172.741501,0.011000,0.070447,0.000000,0.000000,0.000341
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.000000,4.176385,0.000000,0.000000,0.020871
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.000000,4.182430,0.000000,0.000000,0.020901
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.000000,4.182679,0.000000,0.000000,0.020902
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.011000,1.889138,0.000000,0.000000,0.009435
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.011000,1.889362,0.000000,0.000000,0.009436
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.011000,1.887675,0.000000,0.000000,0.009427
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,0,1.000000,191.212479,0.000000,0.118301,0.000000,0.000000,0.000580
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,1,1.000000,191.586151,0.000000,0.114099,0.000000,0.000000,0.000559
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,2,1.000000,190.105743,0.000000,0.115420,0.000000,0.000000,0.000566
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,0,1.000000,191.212494,0.011000,0.076176,0.000000,0.000000,0.000370
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,1,1.000000,191.586151,0.011000,0.074538,0.000000,0.000000,0.000361
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,2,1.000000,190.105774,0.010000,0.075495,0.000000,0.000000,0.000366
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,0,1.000000,50653.000000,0.000000,5.339277,0.000000,0.000000,0.026686
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,1,1.000000,50653.000000,0.000000,5.321391,0.000000,0.000000,0.026596
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,2,1.000000,50653.000000,0.000000,5.328896,0.000000,0.000000,0.026634
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1,0,1.000000,50653.000000,0.011000,2.425460,0.000000,0.000000,0.012116
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1,1,1.000000,50653.000000,0.011000,2.429536,0.000000,0.000000,0.012137
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1,2,1.000000,50653.000000,0.010000,2.429050,0.000000,0.000000,0.012134
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1,0,1.000000,178.705032,0.000000,0.129295,0.000000,0.000000,0.000635
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1,1,1.000000,179.075256,0.000000,0.130481,0.000000,0.000000,0.000641
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1,2,1.000000,177.816422,0.000000,0.131669,0.000000,0.000000,0.000647
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,0,1.000000,178.705063,0.011000,0.079953,0.000000,0.000000,0.000388
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,1,1.000000,179.075256,0.010000,0.078431,0.000000,0.000000,0.000381
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,2,1.000000,177.816422,0.011000,0.079620,0.000000,0.000000,0.000387
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1,0,1.000000,59319.000000,0.000000,7.854115,0.000000,0.000000,0.039260
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1,1,1.000000,59319.000000,0.000000,7.845269,0.000000,0.000000,0.039215
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1,2,1.000000,59319.000000,0.000000,7.851110,0.000000,0.000000,0.039244
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1,0,1.000000,59319.000000,0.012000,2.824689,0.000000,0.000000,0.014112
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1,1,1.000000,59319.000000,0.011000,2.824057,0.000000,0.000000,0.014109
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1,2,1.000000,59319.000000,0.011000,2.824971,0.000000,0.000000,0.014114
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1,0,1.000000,180.564407,0.000000,0.135790,0.000000,0.000000,0.000668
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1,1,1.000000,180.697418,0.000000,0.135641,0.000000,0.000000,0.000667
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1,2,1.000000,179.701538,0.000000,0.134430,0.000000,0.000000,0.000661
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59319,39.000000,2.000000,1,0,1.000000,180.564438,0.011000,0.096224,0.000000,0.000000,0.000470
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59319,39.000000,2.000000,1,1,1.000000,180.697449,0.011000,0.096279,0.000000,0.000000,0.000470
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59319,39.000000,2.000000,1,2,1.000000,179.701477,0.011000,0.095537,0.000000,0.000000,0.000466
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,68921,41.000000,2.000000,1,0,1.000000,68921.000000,0.000000,9.066075,0.000000,0.000000,0.045319
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,68921,41.000000,2.000000,1,1,1.000000,68921.000000,0.000000,9.062141,0.000000,0.000000,0.045299
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,68921,41.000000,2.000000,1,2,1.000000,68921.000000,0.000000,9.062552,0.000000,0.000000,0.045302
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,68921,41.000000,2.000000,1,0,1.000000,68921.000000,0.012000,5.238830,0.000000,0.000000,0.026183
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,68921,41.000000,2.000000,1,1,1.000000,68921.000000,0.011000,5.236180,0.000000,0.000000,0.026170
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,68921,41.000000,2.000000,1,2,1.000000,68921.000000,0.010000,5.241256,0.000000,0.000000,0.026195
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,68921,41.000000,2.000000,1,0,1.000000,181.991470,0.000000,0.142646,0.000000,0.000000,0.000700
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,68921,41.000000,2.000000,1,1,1.000000,181.881775,0.000000,0.145993,0.000000,0.000000,0.000719
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,68921,41.000000,2.000000,1,2,1.000000,181.149185,0.000000,0.142085,0.000000,0.000000,0.000699
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,68921,41.000000,2.000000,1,0,1.000000,181.991501,0.011000,0.102067,0.000000,0.000000,0.000499
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,68921,41.000000,2.000000,1,1,1.000000,181.881760,0.010000,0.101893,0.000000,0.000000,0.000498
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,68921,41.000000,2.000000,1,2,1.000000,181.149200,0.010000,0.100646,0.000000,0.000000,0.000492
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,79507,43.000000,2.000000,1,0,1.000000,79507.000000,0.000000,10.408224,0.000000,0.000000,0.052030
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,79507,43.000000,2.000000,1,1,1.000000,79507.000000,0.000000,10.397876,0.000000,0.000000,0.051978
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,79507,43.000000,2.000000,1,2,1.000000,79507.000000,0.000000,10.397307,0.000000,0.000000,0.051975
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,79507,43.000000,2.000000,1,0,1.000000,79507.000000,0.012000,6.007266,0.000000,0.000000,0.030025
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,79507,43.000000,2.000000,1,1,1.000000,79507.000000,0.011000,6.003230,0.000000,0.000000,0.030005
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,79507,43.000000,2.000000,1,2,1.000000,79507.000000,0.011000,6.006187,0.000000,0.000000,0.030020
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,79507,43.000000,2.000000,1,0,1.000000,182.647614,0.000000,0.149771,0.000000,0.000000,0.000738
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,79507,43.000000,2.000000,1,1,1.000000,183.024612,0.000000,0.149243,0.000000,0.000000,0.000735
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,79507,43.000000,2.000000,1,2,1.000000,182.177551,0.000000,0.146513,0.000000,0.000000,0.000721
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,79507,43.000000,2.000000,1,0,1.000000,182.647644,0.011000,0.105561,0.000000,0.000000,0.000516
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,79507,43.000000,2.000000,1,1,1.000000,183.024643,0.010000,0.105092,0.000000,0.000000,0.000514
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,79507,43.000000,2.000000,1,2,1.000000,182.177536,0.010000,0.103945,0.000000,0.000000,0.000508
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,91125,45.000000,2.000000,1,0,1.000000,91125.000000,0.000000,11.872510,0.000000,0.000000,0.059351
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,91125,45.000000,2.000000,1,1,1.000000,91125.000000,0.000000,11.861424,0.000000,0.000000,0.059296
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,91125,45.000000,2.000000,1,2,1.000000,91125.000000,0.000000,11.863932,0.000000,0.000000,0.059308
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,91125,45.000000,2.000000,1,0,1.000000,91125.000000,0.013000,6.853271,0.000000,0.000000,0.034255
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,91125,45.000000,2.000000,1,1,1.000000,91125.000000,0.011000,6.848207,0.000000,0.000000,0.034230
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,91125,45.000000,2.000000,1,2,1.000000,91125.000000,0.011000,6.850469,0.000000,0.000000,0.034241
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,91125,45.000000,2.000000,1,0,1.000000,184.162521,0.000000,0.150594,0.000000,0.000000,0.000742
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,91125,45.000000,2.000000,1,1,1.000000,184.393463,0.000000,0.149648,0.000000,0.000000,0.000737
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,91125,45.000000,2.000000,1,2,1.000000,184.319260,0.000000,0.147268,0.000000,0.000000,0.000725
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,91125,45.000000,2.000000,1,0,1.000000,184.162521,0.012000,0.106752,0.000000,0.000000,0.000522
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,91125,45.000000,2.000000,1,1,1.000000,184.393494,0.010000,0.106337,0.000000,0.000000,0.000520
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,91125,45.000000,2.000000,1,2,1.000000,184.319290,0.011000,0.106593,0.000000,0.000000,0.000522
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,97336,46.000000,2.000000,1,0,1.000000,97336.000000,0.000000,12.653411,0.000000,0.000000,0.063256
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,97336,46.000000,2.000000,1,1,1.000000,97336.000000,0.000000,12.645442,0.000000,0.000000,0.063216
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,97336,46.000000,2.000000,1,2,1.000000,97336.000000,0.000000,12.649728,0.000000,0.000000,0.063237
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,97336,46.000000,2.000000,1,0,1.000000,97336.000000,0.012000,7.304579,0.000000,0.000000,0.036512
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,97336,46.000000,2.000000,1,1,1.000000,97336.000000,0.010000,7.300924,0.000000,0.000000,0.036493
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,97336,46.000000,2.000000,1,2,1.000000,97336.000000,0.011000,7.302169,0.000000,0.000000,0.036500
