GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066284,0.000000,0.078930,0.000000,0.000000,0.000382,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1.000000,168.547836,0.000000,0.077473,0.000000,0.000000,0.000375,19683.000000,7.407407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,2.000000,361.599630,0.000000,0.122050,0.000000,0.000000,0.000597,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1.000000,173.234187,0.000000,0.083140,0.000000,0.000000,0.000403,29791.000000,6.451613
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,3.000000,543.622335,0.000000,0.164735,0.000000,0.000000,0.000810,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968155,0.000000,0.089154,0.000000,0.000000,0.000433,39304.000000,5.882353
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39366,27.000000,2.000000,2.000000,338.339427,0.000000,0.120259,0.000000,0.000000,0.000589,19683.000000,7.407407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,4.000000,725.164184,0.000000,0.208451,0.000000,0.000000,0.001029,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1.000000,178.532242,0.000000,0.100323,0.000000,0.000000,0.000489,50653.000000,5.405405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59049,27.000000,2.000000,3.000000,507.241638,0.000000,0.193943,0.000000,0.000000,0.000957,19683.000000,7.407407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1.000000,180.321142,0.000000,0.106286,0.000000,0.000000,0.000519,59319.000000,5.128205
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59582,31.000000,2.000000,2.000000,346.719259,0.000000,0.153137,0.000000,0.000000,0.000753,29791.000000,6.451613
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,68921,41.000000,2.000000,1.000000,181.674169,0.000000,0.112005,0.000000,0.000000,0.000548,68921.000000,4.878049
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78608,34.000000,2.000000,2.000000,381.408152,0.000000,0.166036,0.000000,0.000000,0.000817,39304.000000,5.882353
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78732,27.000000,2.000000,4.000000,678.367330,0.000000,0.253189,0.000000,0.000000,0.001253,19683.000000,7.407407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,79507,43.000000,2.000000,1.000000,182.616602,0.000000,0.114071,0.000000,0.000000,0.000558,79507.000000,4.651163
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,89373,31.000000,2.000000,3.000000,520.849426,0.000000,0.210059,0.000000,0.000000,0.001037,29791.000000,6.451613
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,91125,45.000000,2.000000,1.000000,184.291758,0.000000,0.113525,0.000000,0.000000,0.000555,91125.000000,4.444444
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,97336,46.000000,2.000000,1.000000,196.207534,0.000000,0.157501,0.000000,0.000000,0.000775,97336.000000,4.347826
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,101306,37.000000,2.000000,2.000000,358.023081,0.000000,0.250450,0.000000,0.000000,0.001240,50653.000000,5.405405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,117912,34.000000,2.000000,3.000000,573.043762,0.000000,0.368880,0.000000,0.000000,0.001832,39304.000000,5.882353
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,118638,39.000000,2.000000,2.000000,361.459147,0.000000,0.266709,0.000000,0.000000,0.001321,59319.000000,5.128205
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,119164,31.000000,2.000000,4.000000,696.617350,0.000000,0.431333,0.000000,0.000000,0.002144,29791.000000,6.451613
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,137842,41.000000,2.000000,2.000000,363.708262,0.000000,0.282014,0.000000,0.000000,0.001397,68921.000000,4.878049
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,148877,53.000000,2.000000,1.000000,187.726125,0.000000,0.183732,0.000000,0.000000,0.000906,148877.000000,3.773585
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,151959,37.000000,2.000000,3.000000,538.303589,0.000000,0.375462,0.000000,0.000000,0.001864,50653.000000,5.405405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,157216,34.000000,2.000000,4.000000,765.436503,0.000000,0.489935,0.000000,0.000000,0.002437,39304.000000,5.882353
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,159014,43.000000,2.000000,2.000000,366.325673,0.000000,0.290601,0.000000,0.000000,0.001440,79507.000000,4.651163
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,177957,39.000000,2.000000,3.000000,542.907145,0.000000,0.390600,0.000000,0.000000,0.001940,59319.000000,5.128205
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,182250,45.000000,2.000000,2.000000,368.379171,0.000000,0.289312,0.000000,0.000000,0.001434,91125.000000,4.444444
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,194672,46.000000,2.000000,2.000000,392.133107,0.000000,0.363444,0.000000,0.000000,0.001805,97336.000000,4.347826
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,195112,58.000000,2.000000,1.000000,198.959493,0.000000,0.250034,0.000000,0.000000,0.001237,195112.000000,3.448276
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,202612,37.000000,2.000000,4.000000,718.385274,0.000000,0.654630,0.000000,0.000000,0.003260,50653.000000,5.405405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,206763,41.000000,2.000000,3.000000,546.301432,0.000000,0.534891,0.000000,0.000000,0.002661,68921.000000,4.878049
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,237276,39.000000,2.000000,4.000000,724.983195,0.000000,0.689185,0.000000,0.000000,0.003433,59319.000000,5.128205
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,238521,43.000000,2.000000,3.000000,550.330933,0.000000,0.565489,0.000000,0.000000,0.002815,79507.000000,4.651163
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,250047,63.000000,2.000000,1.000000,191.353363,0.000000,0.258091,0.000000,0.000000,0.001278,250047.000000,3.174603
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,273375,45.000000,2.000000,3.000000,553.724609,0.000000,0.555637,0.000000,0.000000,0.002765,91125.000000,4.444444
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,275684,41.000000,2.000000,4.000000,729.369853,0.000000,0.725295,0.000000,0.000000,0.003614,68921.000000,4.878049
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,292008,46.000000,2.000000,3.000000,589.240438,0.000000,0.682622,0.000000,0.000000,0.003400,97336.000000,4.347826
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,297754,53.000000,2.000000,2.000000,375.539866,0.000000,0.520842,0.000000,0.000000,0.002591,148877.000000,3.773585
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,300763,67.000000,2.000000,1.000000,192.584844,0.000000,0.321589,0.000000,0.000000,0.001595,300763.000000,2.985075
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,318028,43.000000,2.000000,4.000000,734.773865,0.000000,0.927719,0.000000,0.000000,0.004626,79507.000000,4.651163
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,343000,70.000000,2.000000,1.000000,201.390671,0.000000,0.350516,0.000000,0.000000,0.001740,343000.000000,2.857143
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,364500,45.000000,2.000000,4.000000,739.613383,0.000000,0.917163,0.000000,0.000000,0.004573,91125.000000,4.444444
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,389344,46.000000,2.000000,4.000000,787.328125,0.000000,1.084683,0.000000,0.000000,0.005411,97336.000000,4.347826
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,390224,58.000000,2.000000,2.000000,398.713491,0.000000,0.681081,0.000000,0.000000,0.003392,195112.000000,3.448276
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,405224,74.000000,2.000000,1.000000,202.003103,0.000000,0.423986,0.000000,0.000000,0.002107,405224.000000,2.702703
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,446631,53.000000,2.000000,3.000000,564.840413,0.000000,0.931977,0.000000,0.000000,0.004647,148877.000000,3.773585
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,456533,77.000000,2.000000,1.000000,194.915537,0.000000,0.439755,0.000000,0.000000,0.002186,456533.000000,2.597403
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,493039,79.000000,2.000000,1.000000,195.315404,0.000000,0.504395,0.000000,0.000000,0.002509,493039.000000,2.531646
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,500094,63.000000,2.000000,2.000000,383.234680,0.000000,0.761544,0.000000,0.000000,0.003795,250047.000000,3.174603
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,585336,58.000000,2.000000,3.000000,598.959697,0.000000,1.327929,0.000000,0.000000,0.006627,195112.000000,3.448276
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,595508,53.000000,2.000000,4.000000,754.070129,0.000000,1.602401,0.000000,0.000000,0.007999,148877.000000,3.773585
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,601526,67.000000,2.000000,2.000000,385.291311,0.000000,0.915761,0.000000,0.000000,0.004566,300763.000000,2.985075
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,686000,70.000000,2.000000,2.000000,402.865173,0.000000,1.081308,0.000000,0.000000,0.005393,343000.000000,2.857143
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,750141,63.000000,2.000000,3.000000,575.603251,0.000000,1.460180,0.000000,0.000000,0.007288,250047.000000,3.174603
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,780448,58.000000,2.000000,4.000000,799.940409,0.000000,2.194350,0.000000,0.000000,0.010959,195112.000000,3.448276
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,810448,74.000000,2.000000,2.000000,404.140869,0.000000,1.256405,0.000000,0.000000,0.006268,405224.000000,2.702703
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,902289,67.000000,2.000000,3.000000,579.063212,0.000000,1.820446,0.000000,0.000000,0.009089,300763.000000,2.985075
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,913066,77.000000,2.000000,2.000000,390.142822,0.000000,1.390986,0.000000,0.000000,0.006941,456533.000000,2.597403
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,986078,79.000000,2.000000,2.000000,390.833109,0.000000,1.524194,0.000000,0.000000,0.007607,493039.000000,2.531646
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1000188,63.000000,2.000000,4.000000,768.770121,0.000000,2.485575,0.000000,0.000000,0.012415,250047.000000,3.174603
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1029000,70.000000,2.000000,3.000000,605.262736,0.000000,2.158270,0.000000,0.000000,0.010778,343000.000000,2.857143
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1203052,67.000000,2.000000,4.000000,773.580445,0.000000,3.039934,0.000000,0.000000,0.015186,300763.000000,2.985075
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1215672,74.000000,2.000000,3.000000,607.432109,0.000000,2.581973,0.000000,0.000000,0.012896,405224.000000,2.702703
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1369599,77.000000,2.000000,3.000000,586.458415,0.000000,2.856623,0.000000,0.000000,0.014269,456533.000000,2.597403
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1372000,70.000000,2.000000,4.000000,808.670003,0.000000,3.625877,0.000000,0.000000,0.018116,343000.000000,2.857143
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1479117,79.000000,2.000000,3.000000,587.480733,0.000000,3.093215,0.000000,0.000000,0.015452,493039.000000,2.531646
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1620896,74.000000,2.000000,4.000000,810.937174,0.000000,4.388444,0.000000,0.000000,0.021928,405224.000000,2.702703
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1826132,77.000000,2.000000,4.000000,783.133118,0.000000,4.861312,0.000000,0.000000,0.024292,456533.000000,2.597403
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,1972156,79.000000,2.000000,4.000000,784.628255,0.000000,5.289047,0.000000,0.000000,0.026431,493039.000000,2.531646
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1.000000,181.066279,0.017000,0.059765,0.000000,0.000000,0.000285,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1.000000,168.547846,0.017667,0.059150,0.000000,0.000000,0.000283,19683.000000,7.407407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,2.000000,361.599589,0.017333,0.086790,0.000000,0.000000,0.000421,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1.000000,173.234212,0.017333,0.063320,0.000000,0.000000,0.000304,29791.000000,6.451613
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,3.000000,543.622253,0.017333,0.114214,0.000000,0.000000,0.000558,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1.000000,190.968135,0.017000,0.068513,0.000000,0.000000,0.000329,39304.000000,5.882353
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,2.000000,338.339488,0.017333,0.085874,0.000000,0.000000,0.000417,19683.000000,7.407407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,4.000000,725.164123,0.017000,0.141670,0.000000,0.000000,0.000695,10648.000000,9.090909
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1.000000,178.532272,0.017333,0.081951,0.000000,0.000000,0.000397,50653.000000,5.405405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,3.000000,507.241669,0.017667,0.144496,0.000000,0.000000,0.000710,19683.000000,7.407407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59319,39.000000,2.000000,1.000000,180.321121,0.017000,0.085546,0.000000,0.000000,0.000414,59319.000000,5.128205
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59582,31.000000,2.000000,2.000000,346.719279,0.017667,0.117699,0.000000,0.000000,0.000576,29791.000000,6.451613
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,68921,41.000000,2.000000,1.000000,181.674164,0.017333,0.090160,0.000000,0.000000,0.000438,68921.000000,4.878049
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,78608,34.000000,2.000000,2.000000,381.408173,0.017667,0.127891,0.000000,0.000000,0.000627,39304.000000,5.882353
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,78732,27.000000,2.000000,4.000000,678.367391,0.018000,0.188642,0.000000,0.000000,0.000930,19683.000000,7.407407
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,79507,43.000000,2.000000,1.000000,182.616613,0.018000,0.091659,0.000000,0.000000,0.000446,79507.000000,4.651163
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,89373,31.000000,2.000000,3.000000,520.849487,0.017667,0.159160,0.000000,0.000000,0.000783,29791.000000,6.451613
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,91125,45.000000,2.000000,1.000000,184.291753,0.017000,0.091859,0.000000,0.000000,0.000446,91125.000000,4.444444
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,97336,46.000000,2.000000,1.000000,196.207550,0.017000,0.122500,0.000000,0.000000,0.000600,97336.000000,4.347826
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,101306,37.000000,2.000000,2.000000,358.023071,0.018000,0.190229,0.000000,0.000000,0.000932,50653.000000,5.405405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,117912,34.000000,2.000000,3.000000,573.043783,0.018000,0.274436,0.000000,0.000000,0.001359,39304.000000,5.882353
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,118638,39.000000,2.000000,2.000000,361.459137,0.017333,0.203917,0.000000,0.000000,0.001007,59319.000000,5.128205
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,119164,31.000000,2.000000,4.000000,696.617371,0.018000,0.321504,0.000000,0.000000,0.001595,29791.000000,6.451613
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,137842,41.000000,2.000000,2.000000,363.708282,0.041000,0.219894,0.000000,0.000000,0.001085,68921.000000,4.878049
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,148877,53.000000,2.000000,1.000000,187.726151,0.017333,0.146526,0.000000,0.000000,0.000719,148877.000000,3.773585
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,151959,37.000000,2.000000,3.000000,538.303589,0.017333,0.284499,0.000000,0.000000,0.001409,50653.000000,5.405405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,157216,34.000000,2.000000,4.000000,765.436524,0.017333,0.364387,0.000000,0.000000,0.001809,39304.000000,5.882353
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,159014,43.000000,2.000000,2.000000,366.325622,0.018000,0.225125,0.000000,0.000000,0.001113,79507.000000,4.651163
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,177957,39.000000,2.000000,3.000000,542.907104,0.017667,0.297571,0.000000,0.000000,0.001475,59319.000000,5.128205
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,182250,45.000000,2.000000,2.000000,368.379181,0.017667,0.222456,0.000000,0.000000,0.001099,91125.000000,4.444444
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,194672,46.000000,2.000000,2.000000,392.133128,0.017333,0.278108,0.000000,0.000000,0.001378,97336.000000,4.347826
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,195112,58.000000,2.000000,1.000000,198.959498,0.017667,0.196641,0.000000,0.000000,0.000970,195112.000000,3.448276
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,202612,37.000000,2.000000,4.000000,718.385315,0.018333,0.487581,0.000000,0.000000,0.002425,50653.000000,5.405405
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,206763,41.000000,2.000000,3.000000,546.301453,0.018000,0.402856,0.000000,0.000000,0.002002,68921.000000,4.878049
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,237276,39.000000,2.000000,4.000000,724.983236,0.017333,0.516354,0.000000,0.000000,0.002569,59319.000000,5.128205
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,238521,43.000000,2.000000,3.000000,550.330953,0.017667,0.429974,0.000000,0.000000,0.002137,79507.000000,4.651163
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,250047,63.000000,2.000000,1.000000,191.353338,0.018000,0.204455,0.000000,0.000000,0.001009,250047.000000,3.174603
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,273375,45.000000,2.000000,3.000000,553.724630,0.018000,0.419959,0.000000,0.000000,0.002087,91125.000000,4.444444
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,275684,41.000000,2.000000,4.000000,729.369832,0.017667,0.548543,0.000000,0.000000,0.002730,68921.000000,4.878049
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,292008,46.000000,2.000000,3.000000,589.240397,0.017333,0.510707,0.000000,0.000000,0.002541,97336.000000,4.347826
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,297754,53.000000,2.000000,2.000000,375.539866,0.018333,0.397885,0.000000,0.000000,0.001976,148877.000000,3.773585
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,300763,67.000000,2.000000,1.000000,192.584844,0.018333,0.254274,0.000000,0.000000,0.001259,300763.000000,2.985075
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,318028,43.000000,2.000000,4.000000,734.773906,0.019333,0.694060,0.000000,0.000000,0.003457,79507.000000,4.651163
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,343000,70.000000,2.000000,1.000000,201.390681,0.017667,0.276402,0.000000,0.000000,0.001369,343000.000000,2.857143
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,364500,45.000000,2.000000,4.000000,739.613383,0.018000,0.685106,0.000000,0.000000,0.003413,91125.000000,4.444444
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,389344,46.000000,2.000000,4.000000,787.328145,0.017667,0.805793,0.000000,0.000000,0.004016,97336.000000,4.347826
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,390224,58.000000,2.000000,2.000000,398.713460,0.017667,0.522116,0.000000,0.000000,0.002598,195112.000000,3.448276
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,405224,74.000000,2.000000,1.000000,202.003103,0.017667,0.336271,0.000000,0.000000,0.001668,405224.000000,2.702703
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,446631,53.000000,2.000000,3.000000,564.840413,0.017667,0.705039,0.000000,0.000000,0.003512,148877.000000,3.773585
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,456533,77.000000,2.000000,1.000000,194.915537,0.018333,0.350913,0.000000,0.000000,0.001741,456533.000000,2.597403
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,493039,79.000000,2.000000,1.000000,195.315414,0.017333,0.399057,0.000000,0.000000,0.001982,493039.000000,2.531646
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,500094,63.000000,2.000000,2.000000,383.234670,0.017333,0.581048,0.000000,0.000000,0.002892,250047.000000,3.174603
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,585336,58.000000,2.000000,3.000000,598.959676,0.017000,1.003784,0.000000,0.000000,0.005006,195112.000000,3.448276
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,595508,53.000000,2.000000,4.000000,754.070170,0.018333,1.196521,0.000000,0.000000,0.005970,148877.000000,3.773585
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,601526,67.000000,2.000000,2.000000,385.291331,0.017333,0.699449,0.000000,0.000000,0.003484,300763.000000,2.985075
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,686000,70.000000,2.000000,2.000000,402.865173,0.017667,0.825308,0.000000,0.000000,0.004113,343000.000000,2.857143
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,750141,63.000000,2.000000,3.000000,575.603251,0.017667,1.097915,0.000000,0.000000,0.005476,250047.000000,3.174603
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,780448,58.000000,2.000000,4.000000,799.940470,0.018000,1.645438,0.000000,0.000000,0.008214,195112.000000,3.448276
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,810448,74.000000,2.000000,2.000000,404.140859,0.018000,0.962906,0.000000,0.000000,0.004801,405224.000000,2.702703
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,902289,67.000000,2.000000,3.000000,579.063212,0.018667,1.367558,0.000000,0.000000,0.006824,300763.000000,2.985075
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,913066,77.000000,2.000000,2.000000,390.142812,0.017333,1.069071,0.000000,0.000000,0.005332,456533.000000,2.597403
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,986078,79.000000,2.000000,2.000000,390.833119,0.017333,1.171279,0.000000,0.000000,0.005843,493039.000000,2.531646
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1000188,63.000000,2.000000,4.000000,768.770142,0.017667,1.847600,0.000000,0.000000,0.009225,250047.000000,3.174603
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1029000,70.000000,2.000000,3.000000,605.262736,0.017667,1.621682,0.000000,0.000000,0.008095,343000.000000,2.857143
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1203052,67.000000,2.000000,4.000000,773.580465,0.019000,2.287615,0.000000,0.000000,0.011424,300763.000000,2.985075
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1215672,74.000000,2.000000,3.000000,607.432149,0.018000,1.955295,0.000000,0.000000,0.009763,405224.000000,2.702703
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1369599,77.000000,2.000000,3.000000,586.458435,0.017667,2.175875,0.000000,0.000000,0.010866,456533.000000,2.597403
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1372000,70.000000,2.000000,4.000000,808.669962,0.018667,2.720586,0.000000,0.000000,0.013589,343000.000000,2.857143
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1479117,79.000000,2.000000,3.000000,587.480733,0.018667,2.356293,0.000000,0.000000,0.011767,493039.000000,2.531646
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1620896,74.000000,2.000000,4.000000,810.937134,0.018000,3.299900,0.000000,0.000000,0.016486,405224.000000,2.702703
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1826132,77.000000,2.000000,4.000000,783.133118,0.017667,3.676670,0.000000,0.000000,0.018369,456533.000000,2.597403
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1972156,79.000000,2.000000,4.000000,784.628276,0.019000,4.006329,0.000000,0.000000,0.020017,493039.000000,2.531646
